Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Jim McDonald,,http://www.pro-football-reference.com,
Paul Coop,,http://www.pro-football-reference.com,
Charlie Schultz,,http://www.pro-football-reference.com,
Lyle Smith,,http://www.pro-football-reference.com,
Aldo Forte,,http://www.pro-football-reference.com,
Merrill Waters,,http://www.pro-football-reference.com,
Matt Kuber,,http://www.pro-football-reference.com,
Willard Hofer,,http://www.pro-football-reference.com,
Mario Tonelli,,http://www.pro-football-reference.com,
Everett Kircher,,http://www.pro-football-reference.com,
Al Howe,,http://www.pro-football-reference.com,
Al Cruver,,http://www.pro-football-reference.com,
Bill Gunther,,http://www.pro-football-reference.com,
Jack Rhodes,,http://www.pro-football-reference.com,
George Cafego,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/george-cafego-1.html
George McAfee,,http://www.pro-football-reference.com,
Kay Eakin,,http://www.pro-football-reference.com,
Banks McFadden,,http://www.pro-football-reference.com,
Olie Cordill,,http://www.pro-football-reference.com,
Doyle Nave,,http://www.pro-football-reference.com,
Bulldog Turner,,http://www.pro-football-reference.com,
Ed Boell,,http://www.pro-football-reference.com,
Hal Van Every,,http://www.pro-football-reference.com,
Grenny Lansdell,,http://www.pro-football-reference.com,
George (Snuffy) Stirnweiss,,http://www.pro-football-reference.com,
Ralph Wenzel,,http://www.pro-football-reference.com,
John Schiechl,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/john-schiechl-1.html
Nile Kinnick,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/nile-kinnick-1.html
Merl Condit,,http://www.pro-football-reference.com,
Lloyd Madden,,http://www.pro-football-reference.com,
